"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression_case","tests.pytest","Thu Feb 19 19:15:15 UTC 2026","passed","Thu Feb 19 19:15:15 UTC 2026","","test_markers","",""
"","0","test_password_reset","tests.pytest","Thu Feb 19 19:15:15 UTC 2026","passed","Thu Feb 19 19:15:15 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Thu Feb 19 19:15:15 UTC 2026","passed","Thu Feb 19 19:15:15 UTC 2026","TestUserInterface","test_markers","",""
"","1667","Check displaying of dashboard page","LMS system","Thu Feb 19 19:15:17 UTC 2026","passed","Thu Feb 19 19:15:18 UTC 2026","Dashboard","Dashboard","",""
"","1643","Check displaying of empty courses list","LMS system","Thu Feb 19 19:15:09 UTC 2026","passed","Thu Feb 19 19:15:10 UTC 2026","Courses","Courses","",""
"","1732","User login with wrong email or password","LMS system","Thu Feb 19 19:15:04 UTC 2026","passed","Thu Feb 19 19:15:06 UTC 2026","Authorization","Authentication","",""
"","2019","User login with wrong email or password","LMS system","Thu Feb 19 19:15:02 UTC 2026","passed","Thu Feb 19 19:15:04 UTC 2026","Authorization","Authentication","",""
"","3655","Create course","LMS system","Thu Feb 19 19:15:11 UTC 2026","passed","Thu Feb 19 19:15:14 UTC 2026","Courses","Courses","",""
"","3302","User login with correct email and password","LMS system","Thu Feb 19 19:15:02 UTC 2026","passed","Thu Feb 19 19:15:05 UTC 2026","Authorization","Authentication","",""
"","1774","Registration with correct email, username and password","LMS system","Thu Feb 19 19:15:08 UTC 2026","passed","Thu Feb 19 19:15:10 UTC 2026","Registration","Authentication","",""
"","1671","User login with wrong email or password","LMS system","Thu Feb 19 19:15:06 UTC 2026","passed","Thu Feb 19 19:15:07 UTC 2026","Authorization","Authentication","",""
"","3924","Edit course","LMS system","Thu Feb 19 19:15:11 UTC 2026","passed","Thu Feb 19 19:15:15 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Thu Feb 19 19:15:15 UTC 2026","passed","Thu Feb 19 19:15:15 UTC 2026","","test_markers","",""
"","0","test_logout","tests.pytest","Thu Feb 19 19:15:15 UTC 2026","passed","Thu Feb 19 19:15:15 UTC 2026","TestUserAuthentication","test_markers","",""
"","1","test_login","tests.pytest","Thu Feb 19 19:15:15 UTC 2026","passed","Thu Feb 19 19:15:15 UTC 2026","TestUserAuthentication","test_markers","",""
"","1538","Navigation from login page to registration page","LMS system","Thu Feb 19 19:15:06 UTC 2026","passed","Thu Feb 19 19:15:08 UTC 2026","Authorization","Authentication","",""
