"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_logout","tests.pytest","Tue Feb 03 15:32:54 UTC 2026","passed","Tue Feb 03 15:32:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","1866","Check displaying of empty courses list","LMS system","Tue Feb 03 15:32:49 UTC 2026","passed","Tue Feb 03 15:32:50 UTC 2026","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","Tue Feb 03 15:32:54 UTC 2026","passed","Tue Feb 03 15:32:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","4292","Edit course","LMS system","Tue Feb 03 15:32:55 UTC 2026","passed","Tue Feb 03 15:32:59 UTC 2026","Courses","Courses","",""
"","4922","Create course","LMS system","Tue Feb 03 15:32:47 UTC 2026","passed","Tue Feb 03 15:32:52 UTC 2026","Courses","Courses","",""
"","1","test_critical_login","tests.pytest","Tue Feb 03 15:32:54 UTC 2026","passed","Tue Feb 03 15:32:54 UTC 2026","","test_markers","",""
"","2170","User login with wrong email or password","LMS system","Tue Feb 03 15:32:36 UTC 2026","passed","Tue Feb 03 15:32:39 UTC 2026","Authorization","Authentication","",""
"","1","test_login","tests.pytest","Tue Feb 03 15:33:00 UTC 2026","passed","Tue Feb 03 15:33:00 UTC 2026","TestUserAuthentication","test_markers","",""
"","2808","User login with wrong email or password","LMS system","Tue Feb 03 15:32:33 UTC 2026","passed","Tue Feb 03 15:32:36 UTC 2026","Authorization","Authentication","",""
"","2000","Navigation from login page to registration page","LMS system","Tue Feb 03 15:32:39 UTC 2026","passed","Tue Feb 03 15:32:41 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Tue Feb 03 15:32:54 UTC 2026","passed","Tue Feb 03 15:32:54 UTC 2026","TestUserInterface","test_markers","",""
"","2495","Registration with correct email, username and password","LMS system","Tue Feb 03 15:32:41 UTC 2026","passed","Tue Feb 03 15:32:44 UTC 2026","Registration","Authentication","",""
"","5627","User login with correct email and password","LMS system","Tue Feb 03 15:32:33 UTC 2026","passed","Tue Feb 03 15:32:38 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Tue Feb 03 15:32:54 UTC 2026","passed","Tue Feb 03 15:32:54 UTC 2026","","test_markers","",""
"","6854","User login with wrong email or password","LMS system","Tue Feb 03 15:32:39 UTC 2026","passed","Tue Feb 03 15:32:46 UTC 2026","Authorization","Authentication","",""
"","2673","Check displaying of dashboard page","LMS system","Tue Feb 03 15:32:51 UTC 2026","passed","Tue Feb 03 15:32:54 UTC 2026","Dashboard","Dashboard","",""
