"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3017","User login with correct email and password","LMS system","Tue Feb 03 14:13:11 UTC 2026","passed","Tue Feb 03 14:13:14 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Tue Feb 03 14:13:25 UTC 2026","passed","Tue Feb 03 14:13:25 UTC 2026","","test_markers","",""
"","3571","Create course","LMS system","Tue Feb 03 14:13:19 UTC 2026","passed","Tue Feb 03 14:13:22 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Tue Feb 03 14:13:25 UTC 2026","passed","Tue Feb 03 14:13:25 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Tue Feb 03 14:13:25 UTC 2026","passed","Tue Feb 03 14:13:25 UTC 2026","TestUserInterface","test_markers","",""
"","2025","User login with wrong email or password","LMS system","Tue Feb 03 14:13:13 UTC 2026","passed","Tue Feb 03 14:13:15 UTC 2026","Authorization","Authentication","",""
"","1757","Check displaying of dashboard page","LMS system","Tue Feb 03 14:13:24 UTC 2026","passed","Tue Feb 03 14:13:25 UTC 2026","Dashboard","Dashboard","",""
"","3824","Edit course","LMS system","Tue Feb 03 14:13:20 UTC 2026","passed","Tue Feb 03 14:13:24 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Tue Feb 03 14:13:25 UTC 2026","passed","Tue Feb 03 14:13:25 UTC 2026","","test_markers","",""
"","1450","User login with wrong email or password","LMS system","Tue Feb 03 14:13:14 UTC 2026","passed","Tue Feb 03 14:13:16 UTC 2026","Authorization","Authentication","",""
"","1831","User login with wrong email or password","LMS system","Tue Feb 03 14:13:11 UTC 2026","passed","Tue Feb 03 14:13:13 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Tue Feb 03 14:13:25 UTC 2026","passed","Tue Feb 03 14:13:25 UTC 2026","TestUserAuthentication","test_markers","",""
"","1","test_login","tests.pytest","Tue Feb 03 14:13:25 UTC 2026","passed","Tue Feb 03 14:13:25 UTC 2026","TestUserAuthentication","test_markers","",""
"","1787","Registration with correct email, username and password","LMS system","Tue Feb 03 14:13:17 UTC 2026","passed","Tue Feb 03 14:13:19 UTC 2026","Registration","Authentication","",""
"","1498","Navigation from login page to registration page","LMS system","Tue Feb 03 14:13:15 UTC 2026","passed","Tue Feb 03 14:13:17 UTC 2026","Authorization","Authentication","",""
"","1562","Check displaying of empty courses list","LMS system","Tue Feb 03 14:13:17 UTC 2026","passed","Tue Feb 03 14:13:18 UTC 2026","Courses","Courses","",""
