"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1629","Check displaying of empty courses list","LMS system","Thu Feb 19 19:29:32 UTC 2026","passed","Thu Feb 19 19:29:34 UTC 2026","Courses","Courses","",""
"","1534","User login with wrong email or password","LMS system","Thu Feb 19 19:29:29 UTC 2026","passed","Thu Feb 19 19:29:31 UTC 2026","Authorization","Authentication","",""
"","3668","Edit course","LMS system","Thu Feb 19 19:29:35 UTC 2026","passed","Thu Feb 19 19:29:39 UTC 2026","Courses","Courses","",""
"","3418","Create course","LMS system","Thu Feb 19 19:29:34 UTC 2026","passed","Thu Feb 19 19:29:38 UTC 2026","Courses","Courses","",""
"","1","test_login","tests.pytest","Thu Feb 19 19:29:39 UTC 2026","passed","Thu Feb 19 19:29:39 UTC 2026","TestUserAuthentication","test_markers","",""
"","2092","User login with wrong email or password","LMS system","Thu Feb 19 19:29:28 UTC 2026","passed","Thu Feb 19 19:29:30 UTC 2026","Authorization","Authentication","",""
"","1497","Navigation from login page to registration page","LMS system","Thu Feb 19 19:29:30 UTC 2026","passed","Thu Feb 19 19:29:32 UTC 2026","Authorization","Authentication","",""
"","3367","User login with correct email and password","LMS system","Thu Feb 19 19:29:25 UTC 2026","passed","Thu Feb 19 19:29:29 UTC 2026","Authorization","Authentication","",""
"","2165","User login with wrong email or password","LMS system","Thu Feb 19 19:29:25 UTC 2026","passed","Thu Feb 19 19:29:28 UTC 2026","Authorization","Authentication","",""
"","1622","Check displaying of dashboard page","LMS system","Thu Feb 19 19:29:40 UTC 2026","passed","Thu Feb 19 19:29:42 UTC 2026","Dashboard","Dashboard","",""
"","0","test_forgot_password_link","tests.pytest","Thu Feb 19 19:29:39 UTC 2026","passed","Thu Feb 19 19:29:39 UTC 2026","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","Thu Feb 19 19:29:39 UTC 2026","passed","Thu Feb 19 19:29:39 UTC 2026","","test_markers","",""
"","0","test_critical_login","tests.pytest","Thu Feb 19 19:29:39 UTC 2026","passed","Thu Feb 19 19:29:39 UTC 2026","","test_markers","",""
"","1672","Registration with correct email, username and password","LMS system","Thu Feb 19 19:29:32 UTC 2026","passed","Thu Feb 19 19:29:34 UTC 2026","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","Thu Feb 19 19:29:39 UTC 2026","passed","Thu Feb 19 19:29:39 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Thu Feb 19 19:29:39 UTC 2026","passed","Thu Feb 19 19:29:39 UTC 2026","TestUserAuthentication","test_markers","",""
